,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.1,dropna,lightgbm,0.8379,0.0096,0.7917,0.0132,0.8467,0.0085,,,,,,,,,,,,,,,,
adult,classification,MAR,0.1,dropna,logistic_regression,0.8037,0.019,0.7584,0.0258,0.8172,0.016,,,,,,,,,,,,,,,,
adult,classification,MAR,0.1,dropna,random_forest,0.7927,0.0138,0.7482,0.0169,0.8076,0.0107,,,,,,,,,,,,,,,,
adult,classification,MAR,0.1,iterative,lightgbm,0.8219,0.0036,0.7859,0.0039,0.8317,0.0033,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,iterative,logistic_regression,0.8012,0.0038,0.7638,0.005,0.8128,0.0037,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,iterative,random_forest,0.7831,0.0032,0.7498,0.0029,0.7974,0.0028,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_3,lightgbm,0.8226,0.0043,0.7863,0.0051,0.8322,0.004,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_3,logistic_regression,0.7994,0.0065,0.7619,0.0075,0.8111,0.0061,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_3,random_forest,0.7813,0.0071,0.7479,0.0069,0.7957,0.0064,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_5,lightgbm,0.8222,0.0043,0.7861,0.0048,0.8319,0.004,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_5,logistic_regression,0.8012,0.0069,0.7637,0.008,0.8128,0.0064,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_5,random_forest,0.7785,0.0072,0.7458,0.0067,0.7933,0.0064,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_7,lightgbm,0.8231,0.0035,0.7873,0.0039,0.8328,0.0032,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_7,logistic_regression,0.801,0.0069,0.7635,0.0081,0.8126,0.0065,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,knn_7,random_forest,0.7806,0.0062,0.7474,0.0057,0.7952,0.0055,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,miceforest,lightgbm,0.8101,0.0014,0.7721,0.0023,0.8206,0.0015,18463.569,559.9116,25743.7266,904.9639,0.0,0.0,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,miceforest,logistic_regression,0.7711,0.0051,0.7308,0.0035,0.7851,0.0043,18463.569,559.9116,25743.7266,904.9639,0.0,0.0,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,miceforest,random_forest,0.7885,0.004,0.7511,0.0019,0.8014,0.0031,18463.569,559.9116,25743.7266,904.9639,0.0,0.0,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_const,lightgbm,0.8255,0.0044,0.7896,0.0051,0.8349,0.0041,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_const,logistic_regression,0.7948,0.005,0.7571,0.0065,0.807,0.0049,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_const,random_forest,0.7689,0.0057,0.7369,0.0047,0.7847,0.005,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_freq,lightgbm,0.8251,0.0048,0.789,0.0053,0.8345,0.0044,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_freq,logistic_regression,0.8023,0.0048,0.7648,0.0062,0.8138,0.0047,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_freq,random_forest,0.7755,0.0045,0.7427,0.0044,0.7906,0.0041,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_mean,lightgbm,0.8237,0.0024,0.7879,0.0027,0.8334,0.0022,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
